Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"LTHM","LIVENT CORP","Aktien","0,26","19,17","193.533","3.710.028","3.710.027,61","Materialien","US53814L1089","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TSE","TRINSEO","Aktien","0,26","73,20","50.469","3.694.331","3.694.330,80","Materialien","LU1057788488","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ATI","ALLEGHENY TECHNOLOGIES INC","Aktien","0,26","21,95","167.524","3.677.152","3.677.151,80","Materialien","US01741R1023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ISBC","INVESTORS BANCORP INC","Aktien","0,26","14,60","249.540","3.643.284","3.643.284,00","Financials","US46146L1017","NASDAQ","Vereinigte Staaten","USD"
"REGI","RENEWABLE ENERGY INC","Aktien","0,26","82,72","44.025","3.641.748","3.641.748,00","Energie","US75972A3014","NASDAQ","Vereinigte Staaten","USD"
"UNIT","UNITI GROUP INC","Aktien","0,26","11,87","306.619","3.639.568","3.639.567,53","Immobilien","US91325V1089","NASDAQ","Vereinigte Staaten","USD"
"SCL","STEPAN","Aktien","0,26","128,26","28.323","3.632.708","3.632.707,98","Materialien","US8585861003","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SJI","S JERSEY INDS INC","Aktien","0,26","27,46","130.981","3.596.738","3.596.738,26","Versorger","US8385181081","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"XNCR","XENCOR INC","Aktien","0,26","46,99","76.518","3.595.581","3.595.580,82","Gesundheitsversorgung","US98401F1057","NASDAQ","Vereinigte Staaten","USD"
"OMI","OWENS & MINOR INC","Aktien","0,25","36,46","97.948","3.571.184","3.571.184,08","Gesundheitsversorgung","US6907321029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GDOT","GREEN DOT CORP CLASS A","Aktien","0,25","51,71","69.029","3.569.490","3.569.489,59","Financials","US39304D1028","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FIX","COMFORT SYSTEMS USA INC","Aktien","0,25","74,23","47.849","3.551.831","3.551.831,27","Industrie","US1999081045","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BRC","BRADY NONVOTING CORP CLASS A","Aktien","0,25","56,38","62.829","3.542.299","3.542.299,02","Industrie","US1046741062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SPXC","SPX CORP","Aktien","0,25","59,50","59.429","3.536.026","3.536.025,50","Industrie","US7846351044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AVAV","AEROVIRONMENT INC","Aktien","0,25","122,33","28.675","3.507.813","3.507.812,75","Industrie","US0080731088","NASDAQ","Vereinigte Staaten","USD"
"SFBS","SERVISFIRST BANCSHARES INC","Aktien","0,25","57,38","60.901","3.494.195","3.494.194,88","Financials","US81768T1088","NASDAQ","Vereinigte Staaten","USD"
"AIN","ALBANY INTERNATIONAL CORP CLASS A","Aktien","0,25","86,20","40.527","3.493.427","3.493.427,40","Industrie","US0123481089","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AWR","AMERICAN STATES WATER","Aktien","0,25","71,78","48.588","3.487.647","3.487.646,64","Versorger","US0298991011","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CORT","CORCEPT THERAPEUTICS INC","Aktien","0,25","25,48","136.559","3.479.523","3.479.523,32","Gesundheitsversorgung","US2183521028","NASDAQ","Vereinigte Staaten","USD"
"PLXS","PLEXUS CORP","Aktien","0,25","90,48","38.344","3.469.365","3.469.365,12","IT","US7291321005","NASDAQ","Vereinigte Staaten","USD"
"AX","AXOS FINANCIAL INC","Aktien","0,25","51,15","67.661","3.460.860","3.460.860,15","Financials","US05465C1009","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CWT","CALIFORNIA WATER SERVICE GROUP","Aktien","0,25","53,08","65.126","3.456.888","3.456.888,08","Versorger","US1307881029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"COOP","MR COOPER GROUP INC","Aktien","0,25","35,98","96.072","3.456.671","3.456.670,56","Financials","US62482R1077","NASDAQ","Vereinigte Staaten","USD"
"FMBI","FIRST MIDWEST BANCORP INC","Aktien","0,25","23,18","148.549","3.443.366","3.443.365,82","Financials","US3208671046","NASDAQ","Vereinigte Staaten","USD"
"IBP","INSTALLED BUILDING PRODUCTS INC","Aktien","0,25","115,00","29.884","3.436.660","3.436.660,00","Zyklische Konsumgüter ","US45780R1014","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"B","BARNES GROUP INC","Aktien","0,24","56,21","60.778","3.416.331","3.416.331,38","Industrie","US0678061096","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CCOI","COGENT COMMUNICATIONS HOLDINGS INC","Aktien","0,24","61,98","54.967","3.406.855","3.406.854,66","Kommunikation","US19239V3024","NASDAQ","Vereinigte Staaten","USD"
"NSA","NATIONAL STORAGE AFFILIATES TRUST","Aktien","0,24","39,54","85.956","3.398.700","3.398.700,24","Immobilien","US6378701063","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"THRM","GENTHERM INC","Aktien","0,24","79,26","42.642","3.379.805","3.379.804,92","Zyklische Konsumgüter ","US37253A1034","NASDAQ","Vereinigte Staaten","USD"
"IOSP","INNOSPEC INC","Aktien","0,24","104,48","32.229","3.367.286","3.367.285,92","Materialien","US45768S1050","NASDAQ","Vereinigte Staaten","USD"
"SANM","SANMINA CORP","Aktien","0,24","39,40","85.362","3.363.263","3.363.262,80","IT","US8010561020","NASDAQ","Vereinigte Staaten","USD"
"FBP","FIRST BANCORP","Aktien","0,24","11,85","283.615","3.360.838","3.360.837,75","Financials","PR3186727065","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FWRD","FORWARD AIR CORP","Aktien","0,24","91,82","36.550","3.356.021","3.356.021,00","Industrie","US3498531017","NASDAQ","Vereinigte Staaten","USD"
"RNST","RENASANT CORP","Aktien","0,24","44,84","74.675","3.348.427","3.348.427,00","Financials","US75970E1073","NASDAQ","Vereinigte Staaten","USD"
